GO_ID	pValues	interestCount	backgroundCount
GO:0030674	0.9650324238863743	16	342
GO:0060090	0.3763144250378415	18	238
GO:0010633	0.2507071807887816	2	14
GO:0010632	1.0	0	6
GO:0030336	0.18070562193423306	13	142
GO:2000146	0.009709628272091916	4	13
GO:0055038	0.9871520394894185	3	114
GO:0010008	0.9985648951456423	11	333
GO:0098588	0.5219841200953089	2	25
GO:0031090	1.0	0	18
GO:0016020	1.0	210	5564
GO:0030659	0.9785225301848989	7	189
GO:0012506	0.40815189799460666	4	47
GO:0030857	0.04127016152442236	2	5
GO:0035994	0.5756674533753028	1	12
GO:0009612	0.809956146004944	3	62
GO:0001508	0.9627093083054579	1	46
GO:0042391	1.0	0	61
GO:0006694	0.8067002661134604	1	23
GO:0008202	1.0	0	44
GO:0048490	0.7031651933270016	1	17
GO:0048489	1.0	0	19
GO:0051650	1.0	0	6
GO:0030705	1.0	0	39
GO:0047496	0.776985913544772	1	21
GO:0072384	1.0	0	13
GO:0010970	1.0	0	7
GO:0007018	1.0	0	84
GO:0008089	1.0	0	28
GO:0098930	1.0	0	4
GO:0008088	1.0	0	4
GO:0039536	0.014069468163309886	3	8
GO:0031666	0.544236266969702	1	11
GO:0031664	1.0	0	4
GO:0005903	0.988963286848089	1	63
GO:0050427	0.6321806093576154	1	14
GO:0006163	1.0	0	9
GO:0006790	1.0	0	25
GO:0031901	0.8825431490022734	11	215
GO:0070062	0.9999999961666934	86	2103
GO:1903561	0.6137327799070982	4	61
GO:0031982	0.9614236888717984	8	194
GO:0032839	0.5641278200212558	2	27
GO:0005737	1.0	310	6589
GO:0015368	0.19286060605380606	1	3
GO:0015085	1.0	0	14
GO:0005384	0.059115952531713624	2	6
GO:0060754	0.059115952531713624	2	6
GO:0050920	1.0	0	12
GO:0002690	0.044954894131595535	3	12
GO:1902808	0.604932507316985	1	13
GO:0090068	1.0	0	10
GO:0045787	0.21916118597741044	4	35
GO:1902806	1.0	0	10
GO:0000795	0.8741396251113995	1	29
GO:0035265	0.34854795329137683	1	6
GO:0031665	1.0	0	15
GO:0016311	0.8067002661134604	1	23
GO:0150054	0.19286060605380606	1	3
GO:0000781	0.8889125647784805	8	165
GO:0098687	1.0	0	4
GO:1901642	0.07905658610117396	2	7
GO:0015858	1.0	0	4
GO:1901264	1.0	0	8
GO:0015931	1.0	0	7
GO:0098739	0.24850146150336413	1	4
